id,entity_type,action,confidence,reason,title,year,doi,source
open_10.22363/2312-8313-2026-13-1-86-95,publication,review_open_publication,0.65,Open bibliographic record from ORCID/OpenAlex/Crossref was not matched to canonical eLibrary/Scopus list,Demographic typology of indigenous peoples of Russia: cluster analysis of age structure,2026,10.22363/2312-8313-2026-13-1-86-95,orcid_public_api
open_10.18413/2408-9338-2025-11-4-1-4,publication,review_open_publication,0.65,Open bibliographic record from ORCID/OpenAlex/Crossref was not matched to canonical eLibrary/Scopus list,Sociological diagnostics of population dissatisfaction as a tool for managing territorial development,2025,10.18413/2408-9338-2025-11-4-1-4,orcid_public_api
open_10.19181/demis.2025.5.4.11,publication,review_open_publication,0.65,Open bibliographic record from ORCID/OpenAlex/Crossref was not matched to canonical eLibrary/Scopus list,Methodological Aspects of Demographic Expertise of Projects and Works,2025,10.19181/demis.2025.5.4.11,orcid_public_api
open_10.22363/2312-8313-2025-12-3-319-327,publication,review_open_publication,0.65,Open bibliographic record from ORCID/OpenAlex/Crossref was not matched to canonical eLibrary/Scopus list,State demographic and family policy: an overview of current research and practices,2025,10.22363/2312-8313-2025-12-3-319-327,orcid_public_api
open_10.22363/2312-8313-2025-12-3-375-385,publication,review_open_publication,0.65,Open bibliographic record from ORCID/OpenAlex/Crossref was not matched to canonical eLibrary/Scopus list,The impact of state agglomeration policy on long-term trends of population changes in Russia,2025,10.22363/2312-8313-2025-12-3-375-385,orcid_public_api
open_10.52180/1999-9836_2025_21_4_8_602_617,publication,review_open_publication,0.65,Open bibliographic record from ORCID/OpenAlex/Crossref was not matched to canonical eLibrary/Scopus list,The Interrelationship of Demographic and Socio-Economic Indicators of Regional Development in Russia,2025,10.52180/1999-9836_2025_21_4_8_602_617,orcid_public_api
open_10.22394/2304-3369-2023-4-33-52,publication,review_open_publication,0.65,Open bibliographic record from ORCID/OpenAlex/Crossref was not matched to canonical eLibrary/Scopus list,Methodological approach to analyzing socio-demographic factors of developing the framework of settlement pattern,2023,10.22394/2304-3369-2023-4-33-52,orcid_public_api
open_10.26653/2076-4650-2021-6-08,publication,review_open_publication,0.65,Open bibliographic record from ORCID/OpenAlex/Crossref was not matched to canonical eLibrary/Scopus list,IDENTIFICATION OF ECONOMIC SPECIALIZATION AND COOPERATION POTENTIAL OF THE REGIONS OF THE RUSSIAN FEDERATION,2021,10.26653/2076-4650-2021-6-08,orcid_public_api
open_10.22394/2304-3369-2021-2-102-119,publication,review_open_publication,0.65,Open bibliographic record from ORCID/OpenAlex/Crossref was not matched to canonical eLibrary/Scopus list,"Modeling of multi-criteria evaluation of social, ecological and economic conditions and development of a territory",2021,10.22394/2304-3369-2021-2-102-119,orcid_public_api
open_методика_и_практика_формирования_многоуровневой_системы_цент,publication,review_open_publication,0.45,Open bibliographic record from ORCID/OpenAlex/Crossref was not matched to canonical eLibrary/Scopus list,Методика и практика формирования многоуровневой системы центров социальных услуг (Methodology and Practice of Forming a Multi-Level System of Centers of Social Services),2019,,openalex_api
open_демографический_фактор_в_обеспечении_устойчивого_развития_ме,publication,review_open_publication,0.45,Open bibliographic record from ORCID/OpenAlex/Crossref was not matched to canonical eLibrary/Scopus list,Демографический фактор в обеспечении устойчивого развития мегаполиса (Demographic Factor in Ensuring Sustainable Development of the Megacity),2018,,openalex_api
open_демографическая_политика_российской_федерации_demographic_po,publication,review_open_publication,0.45,Open bibliographic record from ORCID/OpenAlex/Crossref was not matched to canonical eLibrary/Scopus list,Демографическая Политика Российской Федерации (Demographic Policy of the Russian Federation),2017,,openalex_api
